filename,ctr,title,project,has_face,has_before_after
ZSLB-01.jpg,10.75,短鼻 朝天鼻，1支延长鼻尖，抬高鼻背～,注射/朝天鼻,,
ZSLB-02.jpg,27,2026不叨叨|打造妈生立体鼻,注射/妈生立体鼻,,
ZSLB-03.jpg,10,不是...不叨叨也能爆改塌鼻子了吗⁉,注射/缩小鼻翼,,
ZSLB-04.jpg,12,鼻头扁塌|不叨叨爆改立体妈生鼻,注射/塌鼻子,,
ZSLB-05.jpg,10.03,关于注射鼻答疑解惑，快问快答来喽～,注射鼻,,
ZSLB-06.jpg,10.85,没山根伪塌鼻，3ml沉浸式注射全流程…,注射鼻,,
ZSLB-07.jpg,15.5,原来拉出面中真的只需要6ml～,注射鼻,,
ZSLB-08.jpg,14.55,20min沉浸式体验注射，仅仅需要4支～,注射鼻,,
ZSLB-09.jpg,13.01,30min注射鼻全过程～改善矮塌鼻即刻惊艳…,注射鼻,,
ZSLB-10.jpg,8.92,【实录】只需打起鼻小柱，打造T区高级感,注射鼻,,
ZSLB-11.jpg,18.35,沉浸式｜低山根矮塌鼻逆袭自然妈生鼻,注射鼻,,
ZSLB-12.jpg,10.68,原来普通人变美这么简单~,注射鼻,,
ZSLB-13.jpg,3.76,矮塌蒜头鼻2ml注射妈生鼻全程vlog,注射鼻,,
ZSLB-14.jpg,10.88,【实录】只需打起鼻小柱，拿捏鼻子高级感！,注射鼻,,
ZSLB-15.jpg,3.29,重庆注射鼻｜低山根塌鼻子爆改实录,注射鼻,,
ZSLB-16.jpg,13.75,矮塌鼻设计思路～,注射鼻,,
LB-01.jpg,16.51,妈生幼态感 | 直鼻微翘微起伏！,手术隆鼻/直鼻微翘妈生鼻,,
LB-02.jpg,8.25,自然立体鼻设计，提升面部轮廓感！,手术隆鼻/自然立体鼻,,
LB-03.jpg,10.41,直鼻微翘+盒型鼻头，人生鼻子！,手术隆鼻/直鼻微翘,,
LB-04.jpg,9.09,/,手术隆鼻/鼻综合/自然驼峰鼻,,
